female,age,coupon,start,time,churn,followtime
0,74,0,249,1531,0,116
0,33,0,163,150,1,150
0,23,1,101,244,1,244
0,84,1,55,784,0,310
0,22,0,56,1056,0,309
0,78,1,102,1202,0,263
1,76,0,71,92,1,92
0,38,0,147,2,1,2
0,63,0,365,583,0,0
0,31,1,141,796,0,224
0,32,0,339,811,0,26
1,53,0,93,1164,0,272
0,48,0,57,1413,0,308
0,77,0,56,1525,0,309
0,69,0,363,1161,0,2
0,22,0,61,206,1,206
0,66,0,13,1246,0,352
0,80,0,239,1052,0,126
0,55,0,118,898,0,247
0,50,0,327,1179,0,38
1,82,0,231,1545,0,134
1,48,0,25,1621,0,340
0,27,0,146,587,0,219
0,37,0,341,906,0,24
1,68,0,131,1251,0,234
1,42,0,98,136,1,136
0,67,1,349,583,0,16
0,18,0,355,415,0,10
0,49,1,352,1182,0,13
0,63,0,344,374,0,21
1,31,1,195,785,0,170
0,47,0,8,310,1,310
0,32,0,28,1132,0,337
0,37,0,147,997,0,218
0,58,0,47,130,1,130
0,40,0,38,1120,0,327
0,58,0,290,385,0,75
0,49,0,150,26,1,26
0,29,0,243,722,0,122
1,59,0,229,302,0,136
0,62,0,289,1333,0,76
0,71,0,187,1132,0,178
0,64,1,77,1523,0,288
0,16,0,296,1104,0,69
0,24,0,123,94,1,94
0,57,0,105,69,1,69
0,48,0,249,263,0,116
0,24,0,239,614,0,126
0,65,0,43,1472,0,322
0,33,0,318,142,0,47
0,81,0,264,249,0,101
0,63,1,339,1431,0,26
0,75,0,51,979,0,314
0,81,0,245,1057,0,120
0,34,0,37,1312,0,328
1,34,1,5,835,0,360
0,17,0,196,907,0,169
1,77,0,79,1440,0,286
0,36,0,14,48,1,48
0,24,1,100,631,0,265
0,47,0,313,1239,0,52
0,34,0,5,127,1,127
1,54,0,151,1116,0,214
0,82,0,309,1796,0,56
0,24,0,297,1111,0,68
0,42,0,324,475,0,41
0,30,0,170,729,0,195
0,15,0,3,864,0,362
1,54,0,227,1082,0,138
1,54,0,275,1574,0,90
1,77,0,208,65,1,65
0,76,0,14,1119,0,351
0,25,0,78,42,1,42
0,43,0,35,778,0,330
0,13,0,264,870,0,101
0,31,0,271,58,1,58
0,70,1,186,706,0,179
0,78,0,18,535,0,347
1,19,0,251,1119,0,114
0,28,1,93,1028,0,272
0,54,0,227,1048,0,138
1,66,0,107,610,0,258
0,80,1,21,556,0,344
0,43,1,174,1405,0,191
0,59,0,80,643,0,285
0,29,0,275,327,0,90
1,78,0,273,297,0,92
1,44,1,302,173,0,63
0,65,1,320,661,0,45
0,28,1,93,425,0,272
0,68,0,39,624,0,326
1,72,0,31,1894,0,334
0,31,0,33,627,0,332
0,36,0,140,818,0,225
1,43,0,221,307,0,144
0,81,1,14,1259,0,351
0,37,0,219,918,0,146
0,53,0,254,843,0,111
0,62,0,126,646,0,239
1,58,0,253,1346,0,112
0,79,0,116,1695,0,249
1,20,0,249,973,0,116
0,23,1,121,737,0,244
0,59,0,230,835,0,135
0,31,0,40,140,1,140
0,20,0,309,1040,0,56
0,30,0,111,269,0,254
1,68,1,108,943,0,257
0,52,0,246,1342,0,119
0,59,0,294,10,1,10
1,69,0,185,1231,0,180
0,74,0,287,122,0,78
1,44,0,50,1263,0,315
0,37,0,44,70,1,70
0,33,0,35,1051,0,330
0,49,0,173,515,0,192
0,26,0,288,145,0,77
0,74,1,287,1699,0,78
0,45,0,96,1297,0,269
0,58,0,21,237,1,237
0,75,0,146,308,0,219
0,17,1,236,112,1,112
0,73,0,318,619,0,47
1,25,0,20,1382,0,345
0,15,1,221,529,0,144
0,33,1,87,1107,0,278
0,34,0,83,1173,0,282
0,77,0,21,680,0,344
0,46,0,163,532,0,202
0,58,0,82,1308,0,283
0,83,0,117,1817,0,248
0,79,0,202,969,0,163
0,30,1,112,9,1,9
0,55,0,299,369,0,66
0,31,0,138,693,0,227
0,73,1,40,13,1,13
0,26,0,190,510,0,175
0,81,0,172,1003,0,193
1,54,0,28,769,0,337
0,63,0,58,323,0,307
1,68,0,282,619,0,83
0,77,0,152,1304,0,213
0,84,0,213,838,0,152
0,52,0,62,152,1,152
0,25,0,207,1229,0,158
0,54,0,205,1172,0,160
0,34,0,22,430,0,343
0,67,1,158,1389,0,207
0,31,0,145,1129,0,220
1,27,0,122,403,0,243
1,60,0,325,1645,0,40
0,14,1,66,577,0,299
0,67,0,122,618,0,243
0,35,0,219,680,0,146
0,20,0,56,413,0,309
0,38,0,263,1304,0,102
0,54,0,359,784,0,6
0,52,0,85,771,0,280
0,43,1,43,65,1,65
0,33,0,251,1297,0,114
0,47,0,347,351,0,18
0,63,0,19,609,0,346
0,39,0,206,739,0,159
0,55,0,139,100,1,100
0,65,0,76,404,0,289
0,81,0,356,446,0,9
0,72,0,82,918,0,283
1,51,0,94,1023,0,271
0,29,1,61,1097,0,304
0,85,1,180,1421,0,185
1,34,0,98,935,0,267
0,33,0,42,49,1,49
1,39,0,196,849,0,169
0,23,0,342,825,0,23
1,50,1,110,1594,0,255
0,78,0,10,716,0,355
0,57,0,223,140,1,140
0,25,0,185,1209,0,180
0,74,1,149,1098,0,216
1,35,0,90,1062,0,275
0,34,0,256,807,0,109
0,58,0,201,697,0,164
1,20,0,358,588,0,7
1,38,0,145,528,0,220
1,42,0,336,527,0,29
0,81,0,166,1424,0,199
0,25,0,115,741,0,250
0,44,0,333,1202,0,32
0,43,0,214,117,1,117
1,78,0,112,0,1,0
0,82,0,95,1485,0,270
0,18,1,339,1044,0,26
1,35,0,290,262,0,75
0,63,0,132,908,0,233
0,24,0,190,1190,0,175
0,75,0,63,181,1,181
0,85,1,67,598,0,298
0,71,0,1,1663,0,364
0,48,0,324,1088,0,41
0,57,1,148,428,0,217
0,82,0,103,807,0,262
0,62,0,274,512,0,91
0,33,0,182,849,0,183
1,61,0,224,53,1,53
0,78,0,252,193,0,113
0,33,0,343,45,0,22
0,20,1,263,554,0,102
0,57,0,138,1065,0,227
0,78,0,320,224,0,45
0,51,0,32,82,1,82
0,17,0,303,1017,0,62
1,76,0,54,351,0,311
0,57,0,56,1442,0,309
0,24,0,331,1074,0,34
0,76,1,341,1407,0,24
0,83,0,114,1524,0,251
0,22,0,102,1144,0,263
0,37,0,313,305,0,52
0,70,0,315,764,0,50
0,73,0,225,1528,0,140
0,65,0,51,1290,0,314
0,46,0,337,917,0,28
0,45,0,336,57,0,29
0,19,0,91,227,1,227
0,45,0,303,881,0,62
0,76,0,245,120,1,120
1,16,0,284,895,0,81
0,30,1,289,378,0,76
0,13,0,25,1004,0,340
1,38,0,53,5,1,5
1,24,0,355,38,0,10
0,66,1,275,953,0,90
0,61,1,4,1392,0,361
0,54,0,167,507,0,198
0,77,0,296,1302,0,69
0,55,0,272,715,0,93
1,75,0,220,1869,0,145
1,76,0,267,1031,0,98
0,78,0,196,751,0,169
0,62,0,202,1514,0,163
0,61,0,284,1076,0,81
1,33,1,47,160,1,160
0,23,1,228,403,0,137
0,64,0,56,345,0,309
0,66,0,177,874,0,188
0,76,0,326,1424,0,39
0,40,1,113,1286,0,252
0,28,0,37,1088,0,328
0,82,0,100,953,0,265
0,56,0,256,301,0,109
0,73,0,182,1513,0,183
0,15,0,101,21,1,21
1,47,0,341,945,0,24
0,85,0,282,644,0,83
1,24,0,223,964,0,142
0,82,0,258,1178,0,107
0,49,0,311,1478,0,54
1,64,0,77,458,0,288
0,83,1,101,127,1,127
0,54,1,272,211,0,93
0,32,1,324,24,1,24
0,33,0,43,484,0,322
0,53,0,289,821,0,76
0,73,1,151,127,1,127
0,43,0,250,736,0,115
0,22,0,333,698,0,32
0,83,0,153,389,0,212
0,52,0,311,1162,0,54
0,54,0,87,1467,0,278
0,30,1,209,159,0,156
0,75,0,344,1610,0,21
0,43,1,28,377,0,337
0,80,0,260,1501,0,105
0,49,1,291,962,0,74
0,41,1,288,197,0,77
0,42,0,348,480,0,17
1,21,0,171,84,1,84
0,69,0,105,1162,0,260
0,57,1,232,1086,0,133
0,74,0,187,740,0,178
0,54,0,230,1053,0,135
0,20,0,43,290,1,290
0,70,0,128,1566,0,237
0,15,0,135,692,0,230
0,60,0,352,1495,0,13
0,20,0,333,1117,0,32
0,28,0,222,1195,0,143
0,30,0,34,239,1,239
1,68,0,63,522,0,302
0,75,1,137,169,1,169
0,73,0,151,806,0,214
0,45,0,237,879,0,128
1,35,0,338,73,0,27
1,63,0,353,1602,0,12
0,25,0,234,302,0,131
1,18,1,203,1193,0,162
0,82,1,10,882,0,355
0,83,0,10,1795,0,355
0,71,1,214,108,1,108
0,40,0,127,700,0,238
0,46,0,114,725,0,251
0,66,0,83,791,0,282
0,53,0,30,1133,0,335
1,59,0,27,1706,0,338
0,56,1,322,3,1,3
0,20,0,33,839,0,332
0,31,0,121,347,0,244
0,34,1,99,296,0,266
1,26,1,240,711,0,125
0,40,0,272,1079,0,93
0,57,0,267,32,1,32
1,75,0,162,378,0,203
1,28,1,270,1084,0,95
0,69,0,88,395,0,277
0,76,0,210,502,0,155
0,77,0,154,1213,0,211
0,75,0,352,377,0,13
1,39,0,201,16,1,16
1,30,0,35,680,0,330
0,46,0,135,1452,0,230
0,56,0,268,1478,0,97
0,19,0,311,136,0,54
0,84,0,96,1344,0,269
0,24,0,357,337,0,8
1,78,0,206,1628,0,159
0,76,0,132,1023,0,233
0,76,0,14,226,1,226
0,64,0,336,1084,0,29
0,27,1,265,227,0,100
0,49,0,95,1093,0,270
0,27,0,10,832,0,355
1,33,0,24,1144,0,341
0,31,0,278,785,0,87
0,79,0,226,230,0,139
0,81,0,244,3,1,3
0,33,0,352,382,0,13
0,72,1,26,171,1,171
1,14,0,108,721,0,257
1,66,0,250,824,0,115
1,71,0,187,544,0,178
0,48,0,70,428,0,295
0,14,0,280,191,0,85
0,74,0,156,806,0,209
0,22,0,176,561,0,189
0,27,0,257,620,0,108
0,18,0,29,330,1,330
0,58,0,160,1177,0,205
1,84,0,304,1860,0,61
0,46,0,92,338,0,273
0,59,1,135,1221,0,230
0,14,0,359,1022,0,6
1,44,0,331,717,0,34
0,51,0,9,971,0,356
0,50,0,234,543,0,131
0,38,0,114,601,0,251
1,38,0,327,1561,0,38
0,43,0,107,29,1,29
0,20,0,254,81,1,81
0,33,1,11,1201,0,354
0,77,0,295,1358,0,70
0,27,0,316,626,0,49
0,34,0,321,989,0,44
0,51,0,200,123,1,123
0,26,1,94,859,0,271
0,51,1,131,1007,0,234
0,39,0,159,433,0,206
0,14,1,12,65,1,65
0,38,1,361,1178,0,4
0,25,0,85,672,0,280
0,41,0,296,603,0,69
1,77,0,38,1888,0,327
0,67,0,259,1519,0,106
0,31,0,54,757,0,311
0,68,0,42,138,1,138
0,49,0,224,1160,0,141
1,38,0,172,1249,0,193
1,33,0,259,1271,0,106
0,82,0,98,870,0,267
0,75,0,323,1537,0,42
1,85,0,229,975,0,136
0,40,0,316,788,0,49
0,23,0,253,913,0,112
1,55,0,242,213,0,123
0,43,0,249,330,0,116
1,46,1,224,1475,0,141
1,13,0,131,1011,0,234
0,42,0,91,628,0,274
0,61,1,216,698,0,149
0,65,0,106,194,1,194
0,20,0,136,855,0,229
0,85,0,200,657,0,165
0,62,0,64,33,1,33
1,18,0,330,927,0,35
0,42,0,132,228,1,228
0,38,0,40,174,1,174
0,37,0,175,609,0,190
0,42,0,91,473,0,274
0,64,1,329,1448,0,36
0,85,1,268,1813,0,97
0,51,1,201,26,1,26
0,13,0,2,429,0,363
0,36,0,339,50,0,26
1,39,0,204,1164,0,161
0,54,0,286,287,0,79
0,68,0,364,691,0,1
1,61,0,348,459,0,17
0,85,1,143,1816,0,222
0,79,0,39,945,0,326
0,77,0,135,1435,0,230
1,70,0,86,123,1,123
0,47,0,106,1090,0,259
0,72,0,217,1196,0,148
0,31,0,283,132,0,82
0,72,1,150,34,1,34
0,83,0,18,605,0,347
0,30,0,9,227,1,227
0,30,1,346,920,0,19
1,40,0,193,1429,0,172
0,46,0,145,384,0,220
0,32,0,38,373,0,327
0,47,0,258,423,0,107
0,18,1,188,877,0,177
0,34,0,281,406,0,84
0,62,0,130,1585,0,235
0,45,0,122,529,0,243
0,74,1,296,1459,0,69
0,69,0,200,1183,0,165
0,84,0,239,1583,0,126
0,56,0,103,698,0,262
0,83,1,140,880,0,225
0,56,1,335,1040,0,30
1,18,0,113,1347,0,252
0,43,1,197,233,0,168
1,37,0,260,1256,0,105
0,85,0,161,859,0,204
0,21,0,8,876,0,357
0,41,0,135,1262,0,230
0,61,1,112,2,1,2
0,40,0,345,261,0,20
0,53,0,120,1354,0,245
0,67,0,348,1322,0,17
0,48,0,345,803,0,20
1,49,0,352,1380,0,13
0,63,1,31,385,0,334
1,71,0,183,583,0,182
0,22,0,339,330,0,26
0,23,0,249,92,1,92
0,21,0,233,277,0,132
0,48,0,157,806,0,208
0,38,0,332,898,0,33
0,65,1,88,482,0,277
0,80,0,184,1178,0,181
0,61,0,319,1010,0,46
0,53,0,176,516,0,189
1,22,0,188,572,0,177
0,17,0,313,87,0,52
0,45,0,96,202,1,202
0,76,0,171,993,0,194
1,19,0,279,317,0,86
0,14,0,159,542,0,206
0,70,0,329,1613,0,36
0,65,0,255,451,0,110
0,34,0,65,991,0,300
0,75,0,120,1125,0,245
1,25,0,93,256,1,256
0,16,0,163,252,0,202
1,81,0,170,1023,0,195
0,69,0,286,1627,0,79
1,35,0,46,286,1,286
0,19,0,139,973,0,226
0,81,0,97,1520,0,268
1,19,0,20,896,0,345
0,78,0,338,973,0,27
0,75,1,172,267,0,193
1,80,0,341,1713,0,24
1,61,0,209,697,0,156
0,18,0,157,96,1,96
0,31,0,332,1163,0,33
0,80,0,341,309,0,24
0,85,0,347,1226,0,18
0,78,0,245,476,0,120
0,23,0,256,114,0,109
0,24,0,232,1019,0,133
0,27,0,119,1069,0,246
0,80,0,245,1794,0,120
0,39,0,77,969,0,288
0,37,0,119,817,0,246
0,52,0,147,451,0,218
0,49,1,231,592,0,134
1,63,0,364,1075,0,1
0,37,0,84,716,0,281
0,54,0,73,1368,0,292
0,80,0,43,1303,0,322
0,19,0,100,6,1,6
1,44,0,347,1112,0,18
0,84,1,311,1664,0,54
0,36,0,223,1265,0,142
0,49,0,161,881,0,204
0,84,1,252,193,0,113
0,72,0,24,732,0,341
0,69,0,18,72,1,72
0,56,0,121,1480,0,244
0,18,0,94,329,0,271
0,84,0,208,1201,0,157
0,85,0,79,541,0,286
0,80,0,338,958,0,27
0,31,0,208,627,0,157
0,83,0,169,773,0,196
0,68,0,250,66,1,66
1,21,0,364,913,0,1
0,81,0,164,1462,0,201
1,25,0,28,472,0,337
0,57,0,218,1113,0,147
0,58,0,364,983,0,1
0,53,0,192,1216,0,173
1,51,1,141,25,1,25
0,54,0,204,48,1,48
0,20,0,209,25,1,25
0,52,0,162,974,0,203
0,75,1,40,19,1,19
0,25,0,248,274,0,117
0,33,1,52,584,0,313
0,47,0,346,465,0,19
0,53,0,239,290,0,126
0,13,0,166,769,0,199
0,50,0,169,545,0,196
1,52,0,294,1335,0,71
1,51,1,174,543,0,191
0,16,1,341,553,0,24
0,69,0,306,1540,0,59
1,46,0,221,181,0,144
0,33,0,28,977,0,337
0,37,0,299,588,0,66
0,29,1,107,1279,0,258
1,72,0,202,619,0,163
0,70,0,226,99,1,99
0,44,0,207,1378,0,158
0,16,0,308,876,0,57
0,76,0,279,1441,0,86
1,36,0,339,282,0,26
0,70,0,165,1314,0,200
0,30,0,270,614,0,95
1,73,1,306,626,0,59
0,64,0,121,546,0,244
0,38,0,255,402,0,110
0,24,0,2,1192,0,363
0,13,0,112,438,0,253
0,85,0,67,1522,0,298
1,56,0,317,1633,0,48
0,41,1,219,1249,0,146
0,56,1,31,13,1,13
1,64,1,351,1039,0,14
0,42,0,2,927,0,363
0,63,0,154,940,0,211
1,29,1,10,435,0,355
0,26,1,247,153,0,118
0,50,1,125,1129,0,240
0,48,0,157,718,0,208
1,85,0,300,1344,0,65
0,45,0,100,68,1,68
1,52,0,327,1336,0,38
0,71,0,199,1501,0,166
0,26,0,300,1039,0,65
0,79,0,115,510,0,250
0,58,0,64,1057,0,301
1,60,0,115,1177,0,250
0,64,1,228,499,0,137
0,23,0,83,746,0,282
0,19,0,111,476,0,254
1,13,1,65,1023,0,300
0,28,0,189,64,1,64
0,35,0,317,1185,0,48
0,19,0,9,798,0,356
1,38,0,281,1504,0,84
1,74,0,236,1749,0,129
1,39,1,302,68,0,63
0,61,0,30,451,0,335
0,72,0,295,131,0,70
0,73,0,266,149,0,99
1,45,0,147,1481,0,218
1,15,0,106,334,0,259
0,55,1,298,431,0,67
0,23,0,207,298,0,158
0,53,0,215,984,0,150
1,60,0,247,1336,0,118
0,17,0,89,528,0,276
0,33,0,49,24,1,24
0,85,0,43,840,0,322
0,15,0,295,726,0,70
1,76,0,92,9,1,9
0,27,0,36,749,0,329
0,64,0,281,96,0,84
1,79,1,63,375,0,302
0,76,0,145,900,0,220
0,67,0,204,1409,0,161
0,63,0,56,981,0,309
1,59,0,233,888,0,132
1,31,0,114,1330,0,251
0,24,0,32,73,1,73
0,41,0,204,350,0,161
0,59,0,121,806,0,244
0,49,0,269,594,0,96
0,80,0,168,1060,0,197
0,40,0,233,662,0,132
0,26,0,84,221,1,221
0,59,0,23,1006,0,342
0,17,0,241,817,0,124
1,25,0,276,44,1,44
0,65,0,75,460,0,290
0,25,0,216,390,0,149
0,76,1,316,10,1,10
0,27,0,52,1081,0,313
0,48,1,318,690,0,47
0,28,1,115,187,1,187
0,26,0,309,533,0,56
0,19,0,67,285,1,285
1,76,0,151,462,0,214
0,75,0,48,251,1,251
0,56,0,242,858,0,123
1,16,0,191,467,0,174
0,49,0,364,106,0,1
0,58,0,262,1077,0,103
0,54,0,239,1305,0,126
0,48,1,323,733,0,42
0,63,0,283,1587,0,82
0,20,1,325,243,0,40
0,82,0,334,1545,0,31
1,29,0,250,1072,0,115
0,52,0,294,322,0,71
1,20,1,46,1282,0,319
0,76,1,307,1540,0,58
0,13,1,327,1057,0,38
0,60,0,30,1300,0,335
0,20,0,252,470,0,113
0,34,1,275,23,1,23
1,47,0,200,447,0,165
0,39,0,87,489,0,278
1,57,0,78,1199,0,287
1,45,0,112,1303,0,253
0,59,0,242,1458,0,123
0,33,0,290,1143,0,75
0,30,0,97,574,0,268
0,31,0,7,1166,0,358
0,75,0,74,787,0,291
0,40,0,301,782,0,64
1,57,0,43,290,1,290
0,15,0,317,773,0,48
0,38,0,109,1219,0,256
0,66,0,159,702,0,206
0,46,1,91,731,0,274
1,26,0,118,1042,0,247
0,56,0,357,242,0,8
0,30,0,191,137,1,137
0,19,0,81,835,0,284
0,56,0,70,62,1,62
0,37,1,203,774,0,162
0,20,0,333,712,0,32
1,47,0,359,1289,0,6
0,20,0,105,434,0,260
0,43,0,305,855,0,60
0,45,0,213,669,0,152
0,22,0,268,594,0,97
0,42,0,305,833,0,60
0,18,0,140,642,0,225
0,22,0,90,281,0,275
0,53,0,86,595,0,279
0,25,0,277,874,0,88
0,69,0,147,326,0,218
1,60,1,244,1,1,1
0,41,0,78,56,1,56
0,57,1,4,1347,0,361
1,66,0,37,29,1,29
1,62,1,50,545,0,315
0,73,1,203,842,0,162
0,59,0,310,1219,0,55
0,73,0,269,470,0,96
1,25,0,135,809,0,230
0,80,0,211,539,0,154
0,78,0,279,517,0,86
0,21,0,95,15,1,15
0,31,0,302,936,0,63
1,41,1,175,184,1,184
0,20,0,21,644,0,344
0,25,1,251,8,1,8
0,85,0,302,1082,0,63
0,76,0,119,682,0,246
1,29,0,170,1153,0,195
0,44,0,23,546,0,342
0,43,0,309,719,0,56
0,21,1,59,996,0,306
1,22,0,1,206,1,206
0,57,0,219,1162,0,146
0,23,1,351,270,0,14
0,25,0,153,563,0,212
0,84,0,177,1671,0,188
0,65,0,323,1461,0,42
0,70,0,129,1133,0,236
0,57,1,44,1110,0,321
0,42,0,281,828,0,84
0,21,0,304,400,0,61
0,55,0,291,275,0,74
1,52,1,96,28,1,28
0,17,0,115,886,0,250
0,81,0,338,1627,0,27
0,38,1,138,1034,0,227
1,41,0,52,1335,0,313
0,38,0,250,177,0,115
0,82,1,169,458,0,196
0,65,0,117,1388,0,248
0,62,1,187,1452,0,178
1,16,0,272,817,0,93
0,75,0,271,1290,0,94
1,51,0,343,876,0,22
0,48,0,363,147,0,2
0,18,0,362,431,0,3
1,36,0,164,1203,0,201
0,33,0,45,871,0,320
0,77,0,346,492,0,19
0,70,0,327,1458,0,38
0,70,0,358,652,0,7
0,34,0,140,788,0,225
0,64,0,203,342,0,162
0,48,0,41,599,0,324
0,63,0,210,1611,0,155
0,48,1,142,1464,0,223
0,81,0,196,696,0,169
0,35,0,77,1313,0,288
0,22,0,349,611,0,16
0,36,1,313,287,0,52
1,73,0,175,863,0,190
0,53,0,181,527,0,184
0,58,0,154,1259,0,211
1,32,1,31,1003,0,334
0,56,0,331,1363,0,34
1,16,0,279,1162,0,86
1,32,0,65,673,0,300
0,58,0,135,700,0,230
0,44,0,264,870,0,101
1,85,0,225,1865,0,140
1,67,0,233,1823,0,132
0,75,0,83,1307,0,282
1,48,0,4,1263,0,361
0,35,0,289,900,0,76
0,24,0,218,537,0,147
1,48,1,340,331,0,25
0,50,0,116,268,0,249
0,36,0,125,741,0,240
0,34,0,130,337,0,235
0,73,0,113,1081,0,252
0,79,0,299,71,0,66
0,31,0,348,1224,0,17
0,65,1,80,627,0,285
0,13,0,44,347,0,321
0,25,0,50,340,0,315
0,73,0,342,1595,0,23
1,56,0,8,181,1,181
0,83,1,104,1259,0,261
0,34,0,286,542,0,79
0,42,0,4,1342,0,361
0,85,0,261,1252,0,104
0,59,0,43,658,0,322
0,56,0,104,1043,0,261
0,13,0,216,84,1,84
1,48,1,193,1118,0,172
0,68,0,53,1674,0,312
0,73,0,6,1655,0,359
0,14,0,304,647,0,61
1,54,0,197,239,0,168
0,42,0,141,958,0,224
0,70,0,5,1044,0,360
0,27,0,363,249,0,2
0,68,0,161,965,0,204
0,30,1,85,856,0,280
0,79,0,17,1719,0,348
0,23,0,305,1149,0,60
0,38,0,353,230,0,12
0,74,0,89,855,0,276
0,41,0,227,765,0,138
0,32,0,49,1025,0,316
0,43,0,288,730,0,77
0,19,0,162,884,0,203
0,68,0,216,1571,0,149
0,62,1,50,1536,0,315
0,14,0,328,404,0,37
0,73,0,261,1043,0,104
1,80,1,73,364,0,292
0,27,0,315,179,0,50
0,42,0,256,1382,0,109
1,13,0,246,171,0,119
0,53,0,105,769,0,260
0,74,0,314,681,0,51
0,31,0,198,255,0,167
0,83,0,156,693,0,209
0,70,0,200,245,0,165
0,35,0,152,1040,0,213
0,13,0,204,1050,0,161
0,77,1,141,3,1,3
0,42,0,147,1277,0,218
0,38,0,143,1227,0,222
0,33,1,155,131,1,131
1,78,0,92,288,0,273
0,65,0,221,856,0,144
0,76,0,28,270,1,270
0,14,0,356,927,0,9
1,75,0,104,1730,0,261
0,74,0,53,1639,0,312
0,49,0,125,250,0,240
0,80,0,137,1245,0,228
0,43,1,169,280,0,196
0,62,0,196,24,1,24
0,62,0,30,1366,0,335
0,29,0,61,1145,0,304
0,41,0,293,242,0,72
0,43,0,300,0,1,0
1,49,0,204,1447,0,161
1,49,0,180,332,0,185
0,85,0,156,1375,0,209
0,24,0,349,65,0,16
0,83,0,332,1675,0,33
0,39,1,170,327,0,195
0,75,0,20,176,1,176
1,53,0,329,1538,0,36
0,73,0,269,1141,0,96
0,66,1,264,953,0,101
1,19,0,206,18,1,18
0,66,0,126,766,0,239
0,55,0,198,893,0,167
0,46,0,109,1332,0,256
0,51,0,327,904,0,38
1,69,0,151,1092,0,214
1,57,0,322,302,0,43
0,40,0,93,53,1,53
0,58,0,311,461,0,54
0,70,0,141,1215,0,224
1,80,0,4,162,1,162
1,28,0,231,1189,0,134
0,33,0,44,531,0,321
1,29,0,287,785,0,78
0,58,0,340,403,0,25
0,71,1,62,462,0,303
0,35,0,355,1259,0,10
0,28,1,103,1125,0,262
1,30,0,195,442,0,170
0,83,1,62,1582,0,303
0,27,0,43,607,0,322
0,57,1,99,1500,0,266
0,19,0,47,994,0,318
0,63,1,99,1563,0,266
0,70,1,196,1589,0,169
0,18,0,115,933,0,250
