HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,URL,approx_year_built,cats_allowed, common_charges ,community_district_num,coop_condo,date_of_sale,dining_room_type,dogs_allowed,fuel_type,full_address_or_zip_code,garage_exists,kitchen_type, maintenance_cost ,model_type,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms, parking_charges ,pct_tax_deductibl, sale_price ,sq_footage, total_taxes ,walk_score
3V7ICJJAZAGCPTONQAAQE4NFRYF4BY,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,,,3H7XDTSHKCRNCWDC64DPYRTO1XGWGB,A231MNJJDDF3LS,Approved,Thu Feb 16 03:06:57 PST 2017,Thu Feb 16 03:08:28 PST 2017,Thu Feb 16 03:09:28 PST 2017,2017-02-16 11:10:11 UTC,,,91,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/120-17-Riviera-Ct-College-Point-NY-11356-166321131,1989,yes, $417 ,25,condo,5/31/2016,formal,yes,gas,"120-17 Riviera Ct,  College Point NY, 11356",Yes,Eat In,,Triplex/Waterfront,3,3,3,,7,,," $670,000 ",2050," $4,800 ",48
33IXYHIZB5I0TILKWNTSMXW2AHW2E0,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:39 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:39 PST 2017,,,3WYP994K17RP48J69SMR7X1FIQ6Y61,A231MNJJDDF3LS,Approved,Thu Feb 16 00:45:22 PST 2017,Thu Feb 16 00:47:03 PST 2017,Thu Feb 16 00:48:03 PST 2017,2017-02-16 08:48:11 UTC,,,101,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/7-15-162-St-Beechhurst-NY-11357-172102857,1958,yes,,25,co-op,8/29/2016,combo,no,oil,"7-15 162 St,  Beechhurst NY, 11357",,eat in, $837 ,B,1,,1,,3, $60 ,39," $246,000 ",,,52
3RWO3EJELH9X1OSEMX9PBQL1WIK1P3,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:32 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:32 PST 2017,,,336KAV9KYQS1M705MQAOHKK32L4Y2K,A1F0CN82J2CNY,Approved,Thu Feb 16 00:44:54 PST 2017,Thu Feb 16 00:51:28 PST 2017,Thu Feb 16 00:52:28 PST 2017,2017-02-16 08:53:11 UTC,,,394,100% (11/11),100% (11/11),100% (11/11),http://www.mlsli.com/homes-for-sale/13-28-Robin-Ln-Bayside-NY-11360-171676944,1985,yes, $500 ,25,condo,9/9/2016,other,yes,gas,"13-28 Robin Ln,  Bayside NY, 11360",,Eat In,,1 Br W Den,1,,1,,4,,," $469,000 ",750," $2,800 ",53
3YLPJ8OXX8DJ2WROV62831E7A134X7,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:43 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:43 PST 2017,,,3HOSI13XHZOLR63UNJ7R0I16HP1DDG,AHXBZXWIZJSVG,Approved,Thu Feb 16 06:48:08 PST 2017,Thu Feb 16 06:50:25 PST 2017,Thu Feb 16 06:51:25 PST 2017,2017-02-16 14:53:11 UTC,,,137,100% (115/115),100% (115/115),100% (103/103),http://www.mlsli.com/homes-for-sale/270-10-Grand-Central-Pky-Floral-Park-NY-11005-160251276,1974,no,,,co-op,8/4/2016,combo,no,gas,"270-10 Grand Central Pky,  Floral Park NY, 11005",yes,efficiency, $656 ,Junior 1 Bedroom,1,33,1,,3, $87 ,50," $289,000 ",630,,54
38Z7YZ2SB32T16PRUH9K3USXIGHIQ3,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:47 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:47 PST 2017,,,3U84XHCDICDBUBPXMQVVO6Q3SUIZ4O,A1KH9UPH0D74QJ,Approved,Thu Feb 16 07:06:09 PST 2017,Thu Feb 16 07:07:53 PST 2017,Thu Feb 16 07:08:53 PST 2017,2017-02-16 15:09:11 UTC,,,104,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/27110-Grand-Central-Pky-Floral-Park-NY-11005-164328431,1975,no,,26,co-op,6/1/2016,combo,no,oil,"27110 Grand Central Pky,  Floral Park NY, 11005",yes,efficiency, $964 ,1 Bedroom 1 Bath,1,34,1,,3, $88 ,50," $375,000 ",800,,54
37VUR2VJ6APE7ZJAHSNJRQMUXZ5C10,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:32 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:32 PST 2017,,,3MD9PLUKKIEXGJZ34VARNFW3JBDNZ7,A231MNJJDDF3LS,Approved,Thu Feb 16 06:53:50 PST 2017,Thu Feb 16 06:55:51 PST 2017,Thu Feb 16 06:56:51 PST 2017,2017-02-16 14:57:11 UTC,,,121,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/26910-Grand-Central-Pky-Floral-Park-NY-11005-183449737,1975,no,,26,co-op,10/5/2016,,no,electric,"26910 Grand Central Pky,  Floral Park NY, 11005",Yes,efficiency," $1,381 ",1 Bedroom 1.5 Bath,1,33,1,1,4, $87 ,50," $490,000 ",1010,,54
3ODOP6T3ASKI1GOR7HHFDBKBXS224U,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,,,38BQUHLA9W0FZX0WQLKAU20ZUHNMOR,A1F0CN82J2CNY,Approved,Thu Feb 16 00:51:33 PST 2017,Thu Feb 16 00:56:16 PST 2017,Thu Feb 16 00:57:16 PST 2017,2017-02-16 08:58:11 UTC,,,283,100% (11/11),100% (11/11),100% (11/11),http://www.mlsli.com/homes-for-sale/26910-Grand-Central-Pky-Floral-Park-NY-11005-177427184,1975,no,,26,co-op,10/26/2016,formal,no,oil,"26910 Grand Central Pky,  Floral Park NY, 11005",,eat in," $2,250 ",2 Bedrooms 2.5 Baths,2,34,2,1,5, $88 ,50," $730,000 ",1500,,54
3OJX0UFJ0Z7SIY357WNC02QJ2B09UG,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,,,3YW4XOSQKQLDGDY4TLDL9G4LESR1UM,A1KH9UPH0D74QJ,Approved,Thu Feb 16 05:32:44 PST 2017,Thu Feb 16 05:35:07 PST 2017,Thu Feb 16 05:36:07 PST 2017,2017-02-16 13:36:11 UTC,,,143,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/27010-Grand-Central-Pky-Floral-Park-NY-11005-177597623,1975,no,,26,co-op,8/11/2016,,no,oil,"27010 Grand Central Pky,  Floral Park NY, 11005",yes,eat in," $2,292 ",3 Bedrooms 2.5 Baths,3,34,2,1,7, $168 ,50," $820,000 ",1950,,54
3T8DUCXY0N6DILOG7RX2V64HJXT9TP,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:35 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:35 PST 2017,,,36H9ULYP62UVSCHIOLOSRGZ4YMEFJ7,A6B85D96VN4W4,Approved,Thu Feb 16 06:41:31 PST 2017,Thu Feb 16 06:43:08 PST 2017,Thu Feb 16 06:44:08 PST 2017,2017-02-16 14:44:11 UTC,,,97,100% (33/33),100% (33/33),100% (33/33),http://www.mlsli.com/homes-for-sale/269-10-Grand-Central-Pky-Floral-Park-NY-11005-186489706,1975,no,,26,co-op,1/12/2017,formal,no,gas,"269-10 Grand Central Pky,  Floral Park NY, 11005",Yes,eat in," $4,659 ",Penthouse,3,33,3,1,6, $145 ,50," $999,999 ",2489,,54
3HEA4ZVWVDMSWWBE352NGAT1HYO553,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:45 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:45 PST 2017,,,378XPAWRUCD41AG4VNH01E9DOR8AI9,A231MNJJDDF3LS,Approved,Thu Feb 16 04:06:23 PST 2017,Thu Feb 16 04:08:11 PST 2017,Thu Feb 16 04:09:11 PST 2017,2017-02-16 12:10:11 UTC,,,108,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/251-44-71st-Ave-Bellerose-NY-11426-183140764,1950,no,,26,co-op,12/20/2016,combo,no,gas,"251-44 71st Ave,  Bellerose NY, 11426",,eat in, $676 ,1st Floor,1,2,1,,3,,," $159,000 ",,,55
3OB6JN3A9QPF9QUISBWC0D9JVB3MRO,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:48 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:48 PST 2017,,,3I3WADAZ9Q4HRQFQYM3OD0PD8M85OV,A1KH9UPH0D74QJ,Approved,Thu Feb 16 05:19:20 PST 2017,Thu Feb 16 05:21:15 PST 2017,Thu Feb 16 05:22:15 PST 2017,2017-02-16 13:23:11 UTC,,,115,100% (80/80),100% (80/80),100% (80/80),http://www.mlsli.com/homes-for-sale/7808-Cloverdale-Blvd-Bayside-NY-11364-164608554,1955,yes,,26,co-op,3/21/2016,combo,yes,gas,"7808 Cloverdale Blvd,  Bayside NY, 11364",,efficiency, $669 ,Garden,1,2,1,,4,,," $175,500 ",,,55
3B0MCRZMBRU0IGBG7ZKFCM3ZZYQPPV,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:50 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:50 PST 2017,,,39RP059MEHTVG3BNMGFOOI00NIGMBZ,A3S6UWT0JNCJFE,Approved,Thu Feb 16 06:06:44 PST 2017,Thu Feb 16 06:09:34 PST 2017,Thu Feb 16 06:10:34 PST 2017,2017-02-16 14:11:11 UTC,,,170,100% (75/75),100% (75/75),100% (63/63),http://www.mlsli.com/homes-for-sale/78-01-Cloverdale-Blvd-Bayside-NY-11364-174147120,1955,no,,26,co-op,6/24/2016,combo,no,gas,"78-01 Cloverdale Blvd., Bayside, NY 11364",,efficiency, $670 ,Garden,1,2,1,,3,,50," $186,500 ",,,55
36BTXXLZ2V8Z505CM7WGEJSJ9KI4RB,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,,,3L6L49WXW0XDNX58F2OFZ2J8RV754K,A231MNJJDDF3LS,Approved,Thu Feb 16 04:38:25 PST 2017,Thu Feb 16 04:39:44 PST 2017,Thu Feb 16 04:40:44 PST 2017,2017-02-16 12:41:11 UTC,,,79,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/264-03B-Langston-Ave-Glen-Oaks-NY-11004-168772140,1950,yes,,26,co-op,5/9/2016,combo,yes,oil,"264-03B Langston Ave,  Glen Oaks NY, 11004",,eat in, $698 ,E- Model,2,2,1,,4,,," $267,000 ",,,55
35NNO802AVW8Y9CZEPH3Z0XSD5UING,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:47 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:47 PST 2017,,,3DR23U6WE5EX01DR54IQB41DKNLTE3,AHXBZXWIZJSVG,Approved,Thu Feb 16 04:10:45 PST 2017,Thu Feb 16 04:13:15 PST 2017,Thu Feb 16 04:14:15 PST 2017,2017-02-16 12:15:11 UTC,,,150,100% (115/115),100% (115/115),100% (103/103),http://www.mlsli.com/homes-for-sale/61-20-Grand-Central-Pky-Forest-Hills-NY-11375-167327538,1964,yes,,28,co-op,2/7/2017,combo,yes,gas,"61-20 Grand Central Pky,  Forest Hills NY, 11375",yes,efficiency," $1,370 ",The Fairview,2,14,1,,4,,," $360,000 ",,,55
36D1BWBEHN1Y56DXDLHBZ51BJJN2MP,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,,,33TIN5LC04ACMRL47ZP3R7SH8SPY9P,A231MNJJDDF3LS,Approved,Thu Feb 16 05:09:40 PST 2017,Thu Feb 16 05:11:47 PST 2017,Thu Feb 16 05:12:47 PST 2017,2017-02-16 13:13:11 UTC,,,127,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/224-43-Manor-Rd-Queens-Village-NY-11427-160022873,1955,no,,26,co-op,3/7/2016,combo,no,gas,"224-43 Manor Rd,  Queens Village NY, 11427",,efficiency, $512 ,1 Bedroom Garden Apt,1,2,1,,3,,," $130,000 ",,,57
3TCFMTM8HEO19HR8KZYDFDD8L8S21H,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:34 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:34 PST 2017,,,3JWH6J9I9SD1YLWNYHUO1XP0S8RNB1,A6B85D96VN4W4,Approved,Thu Feb 16 06:47:38 PST 2017,Thu Feb 16 06:49:03 PST 2017,Thu Feb 16 06:50:03 PST 2017,2017-02-16 14:50:11 UTC,,,85,100% (33/33),100% (33/33),100% (33/33),http://www.mlsli.com/homes-for-sale/207-16-Melissa-Ct-Bayside-NY-11360-177657536,1985,no, $564 ,25,condo,7/22/2016,combo,no,gas,"207-16 Melissa Ct,  Bayside NY, 11360",,eat in, $155 ,Baybridge,3,,2,,7,,," $680,000 ",," $5,415 ",58
3G4VVJO6PZGZ7PE0U7F7G5H05OKKPP,36BILMLQB75QQNBTYKGYCZWDN8TVAU,Find Information about Housing To Help a Student Project -- Very easy,Go to a link and copy information into the HIT,,$0.05 ,Wed Feb 15 22:13:41 PST 2017,1,BatchId:2689947;OriginalHitTemplateId:920937336;,900,60,Wed Feb 22 22:13:41 PST 2017,,,32KTQ2V7RDFCSAWQOW1SXC5AZI59M4,A231MNJJDDF3LS,Approved,Thu Feb 16 02:25:43 PST 2017,Thu Feb 16 02:27:11 PST 2017,Thu Feb 16 02:28:11 PST 2017,2017-02-16 10:29:11 UTC,,,88,100% (187/187),100% (187/187),100% (187/187),http://www.mlsli.com/homes-for-sale/71-12-Little-Neck-Pky-Glen-Oaks-NY-11004-167078712,1950,yes,,26,co-op,3/30/2016,,yes,oil,"71-12 Little Neck Pky,  Glen Oaks NY, 11004",,Combo, $684 ,Parkwood Development,1,2,1,,4,,," $135,000 ",590,,58
